-15841,-487,4744
-16287,-1476,4088
-15503,-795,5173
-16181,-971,4202
-15882,-1112,4735
-15813,-473,4803
-16274,-1467,4088
-15570,-787,5161
-16207,-986,4237
-15905,-1220,4734
-15782,-458,4838
-16315,-1427,4053
-15550,-827,5186
-16087,-973,4268
-15999,-1293,4613
-15765,-446,4913
-16325,-1376,4038
-15566,-789,5145
-15986,-976,4315
-16082,-1390,4491
-15631,-416,4987
-16430,-1271,3954
-15635,-844,5132
-15909,-911,4437
-16149,-1489,4372
-15590,-565,5033
-16409,-1149,4036
-15680,-871,4998
-15893,-751,4557
-16154,-1505,4283
-15513,-709,5117
-16370,-994,4078
-15750,-1025,4872
-15847,-641,4725
-16218,-1491,4148
-15496,-800,5180
-16241,-972,4191
-15901,-1207,4695
-15776,-535,4837
-16320,-1381,4028
-15568,-836,5210
-16057,-927,4338
-16053,-1356,4548
-15631,-470,4971
-16391,-1248,3990
-15611,-890,5083
-15898,-868,4444
-16148,-1461,4321
-15576,-650,5074
-16424,-1024,4069
-15718,-974,4851
-15843,-726,4636
-16215,-1487,4177
-15487,-818,5153
-16242,-930,4175
-15946,-1166,4660
-15845,-512,4773
-16326,-1381,4039
-15518,-871,5121
-16000,-971,4336
-16075,-1420,4422
-15625,-521,4984
-16376,-1153,4035
-15620,-909,5032
-15915,-806,4547
-16231,-1460,4274
-15493,-718,5126
-16334,-968,4115
-15821,-1061,4801
-15804,-585,4702
-16281,-1391,4083
-15572,-844,5115
-16087,-989,4286
-16055,-1363,4575
-15743,-500,4893
-16342,-1224,4035
-15635,-928,5022
-15939,-842,4462
-16167,-1437,4344
-15525,-687,5062
-16377,-959,4107
-15764,-1019,4862
-15877,-661,4713
-16252,-1388,4142
-15498,-857,5147
-16160,-938,4234
-15976,-1205,4596
-15756,-503,4858
-16323,-1230,4038
-15565,-879,5065
-15989,-823,4462
-16138,-1380,4402
-15532,-682,5055
-16326,-1024,4128
-15722,-1018,4855
-15816,-623,4697
-16267,-1374,4206
-15554,-874,5193
-16092,-928,4268
-16005,-1306,4580
-15740,-548,4903
-16325,-1198,4046
-15586,-879,5098
-15922,-825,4449
-16163,-1410,4351
-15547,-695,5066
-16356,-982,4113
-15779,-1103,4848
-15860,-642,4735
-16242,-1361,4130
-15559,-888,5180
-16100,-917,4339
-16019,-1268,4579
-15678,-551,4925
-16340,-1177,4060
-15688,-912,5028
-15940,-824,4549
-16202,-1393,4358
-15532,-738,5061
-16310,-907,4177
-15844,-1080,4778
-15839,-593,4733
-16262,-1349,4113
-15581,-899,5107
-16049,-914,4345
-16083,-1312,4518
-15679,-554,4975
-16364,-1124,4045
-15703,-920,5010
-15868,-747,4595
-16189,-1383,4278
-15521,-773,5083
-16231,-920,4187
-15907,-1139,4705
-15812,-546,4824
-16268,-1290,4096
-15586,-859,5080
-15972,-884,4396
-16102,-1357,4442
-15615,-640,4975
-16370,-1032,4113
-15713,-987,4932
-15834,-700,4659
-16200,-1363,4202
-15551,-882,5142
-16154,-898,4265
-15996,-1243,4631
-15749,-549,4917
-16298,-1218,4080
-15576,-916,5064
-15937,-870,4463
-16176,-1379,4390
-15483,-725,5067
-16335,-939,4148
-15861,-1108,4788
-15824,-606,4772
-16272,-1354,4110
-15589,-938,5086
-16045,-928,4344
-16063,-1347,4460
-15595,-593,4968
-16342,-1145,4092
-15706,-953,4974
-15896,-750,4577
-16149,-1386,4230
-15496,-854,5081
-16263,-960,4185
-15916,-1194,4640
-15806,-591,4840
-16271,-1233,4103
-15616,-901,5054
-15956,-899,4420
-16140,-1336,4369
-15546,-713,5004
-16356,-1002,4116
-15769,-1025,4838
-15859,-674,4732
-16217,-1309,4143
-15581,-892,5083
-16110,-912,4325
-16037,-1316,4530
-15705,-579,4909
-16365,-1109,4067
-15686,-949,4992
-15895,-772,4575
-16197,-1387,4287
-15492,-858,5087
-16220,-944,4189
-15908,-1145,4688
-15863,-540,4830
-16250,-1217,4101
-15597,-909,5087
-15956,-890,4414
-16135,-1339,4382
-15589,-714,5003
-16363,-987,4148
-15788,-1073,4839
-15844,-683,4702
-16241,-1315,4192
-15559,-902,5096
-16066,-908,4306
-16034,-1333,4551
-15635,-602,4950
-16325,-1109,4095
-15655,-973,4958
-15881,-757,4619
-16173,-1377,4312
-15507,-845,5092
-16238,-907,4222
-15943,-1205,4678
-15811,-594,4865
-16268,-1202,4154
-15606,-920,5107
-15971,-887,4439
-16148,-1338,4347
-15567,-742,5000
-16285,-954,4128
-15798,-1078,4830
-15849,-671,4781
-16262,-1302,4179
-15651,-944,5111
-16061,-925,4328
-16091,-1326,4469
-15680,-636,4946
-16355,-1166,4153
-15757,-1040,4927
-15869,-744,4600
-16145,-1315,4275
-15495,-841,5097
-16167,-837,4272
-15902,-1159,4624
-15735,-581,4867
-16239,-1134,4113
-15629,-900,5024
-15985,-858,4475
-16157,-1383,4362
-15545,-742,5051
-16247,-910,4169
-15773,-1111,4733
-15799,-624,4723
-16255,-1280,4138
-15588,-900,5072
-15989,-888,4380
-16104,-1303,4431
-15600,-650,4986
-16351,-1054,4141
-15763,-1021,4874
-15820,-717,4637
-16233,-1313,4189
-15575,-885,5068
-16103,-884,4270
-15985,-1234,4565
-15690,-544,4926
-16237,-1090,4131
-15671,-923,5007
-15895,-775,4502
-16231,-1351,4289
-15521,-808,5059
-16204,-923,4226
-15910,-1167,4708
-15814,-583,4817
-16205,-1219,4183
-15624,-876,5080
-15968,-823,4419
-16181,-1308,4396
-15630,-697,4983
-16350,-996,4163
-15775,-1073,4834
-15810,-683,4694
-16223,-1268,4170
-15630,-892,5095
-16045,-899,4369
-16066,-1326,4513
-15674,-611,4950
-16329,-1076,4158
-15737,-971,4932
-15895,-737,4600
-16212,-1338,4256
-15523,-852,5090
-16185,-909,4280
-15958,-1213,4575
-15758,-617,4879
-16247,-1182,4124
-15657,-954,5009
-15928,-809,4474
-16162,-1334,4371
-15482,-775,5042
-16238,-903,4188
-15841,-1155,4736
-15772,-601,4760
-16282,-1275,4150
-15638,-926,5055
-15996,-870,4411
-16160,-1324,4415
-15601,-687,4954
-16331,-987,4137
-15781,-1057,4853
-15811,-698,4700
-16205,-1293,4198
-15650,-911,5054
-16047,-856,4348
-16034,-1294,4510
-15611,-607,4924
-16338,-1080,4096
-15718,-972,4917
-15879,-754,4633
-16159,-1333,4273
-15548,-859,5072
-16160,-906,4284
-15948,-1253,4593
-15745,-608,4881
-16275,-1161,4117
-15684,-962,4985
-15923,-821,4516
-16186,-1349,4305
-15506,-806,5020
-16258,-961,4190
-15876,-1186,4691
-15834,-625,4803
-16266,-1236,4104
-15697,-905,5080
-15975,-839,4429
-16161,-1308,4346
-15544,-749,5035
-16228,-968,4233
-15784,-1073,4769
-15837,-605,4724
-16298,-1260,4131
-15619,-963,5041
-15973,-903,4360
-16073,-1331,4439
-15592,-657,4985
-16322,-1017,4118
-15762,-1014,4829
-15859,-727,4628
-16244,-1324,4167
-15644,-929,5062
-16060,-917,4308
-16046,-1291,4519
-15703,-608,4950
-16327,-1066,4103
-15680,-967,4929
-15865,-702,4611
-16176,-1310,4263
-15523,-849,5056
-16117,-869,4263
-15937,-1217,4613
-15746,-621,4922
-16274,-1112,4165
-15681,-971,5005
-15924,-789,4520
-16213,-1360,4298
-15501,-834,5050
-16216,-912,4219
-15927,-1176,4653
-15773,-598,4859
-16193,-1162,4128
-15639,-886,4991
-15968,-846,4474
-16204,-1330,4364
-15611,-801,5029
-16278,-950,4231
-15891,-1146,4735
-15785,-635,4818
-16210,-1210,4133
-15590,-855,5062
-15951,-840,4439
-16185,-1306,4388
-15613,-749,5029
-16373,-1058,4176
-15881,-1199,4750
-15900,-708,4732
-16254,-1263,4182
-15569,-890,5063
-15946,-836,4405
-16109,-1309,4459
-15619,-670,5041
-16355,-1135,4224
-15820,-1156,4851
-15907,-758,4633
-16316,-1357,4194
-15673,-951,5103
-16110,-931,4382
