-15731,-981,4907
-15600,-373,4989
-16503,-980,4012
-15735,-851,5061
-15705,-319,4888
-16543,-1024,3970
-15648,-743,5057
-15718,-364,4812
-16548,-1104,3945
-15639,-650,5142
-15756,-351,4760
-16537,-1153,3970
-15557,-603,5184
-15803,-383,4747
-16526,-1226,3981
-15523,-612,5194
-15837,-450,4693
-16507,-1294,4025
-15571,-638,5239
-15903,-484,4611
-16471,-1341,4008
-15506,-647,5233
-15846,-518,4587
-16484,-1350,3986
-15449,-650,5256
-15918,-526,4533
-16465,-1361,3997
-15413,-653,5241
-15897,-541,4546
-16454,-1383,4017
-15430,-618,5268
-15890,-527,4528
-16431,-1408,4011
-15491,-607,5258
-15916,-551,4498
-16406,-1451,4014
-15455,-637,5281
-15939,-532,4544
-16452,-1428,4047
-15428,-621,5290
-15939,-538,4573
-16491,-1432,4005
-15477,-640,5250
-15910,-548,4540
-16452,-1417,4032
-15468,-610,5269
-15864,-530,4540
-16484,-1384,3998
-15461,-627,5245
-15909,-507,4550
-16470,-1354,3918
-15443,-565,5242
-15842,-442,4627
-16470,-1302,3966
-15465,-624,5284
-15834,-435,4682
-16541,-1289,3950
-15484,-632,5228
-15826,-400,4645
-16566,-1195,3905
-15507,-567,5258
-15781,-380,4712
-16576,-1203,3887
-15504,-661,5240
-15774,-397,4725
-16601,-1201,3821
-15553,-640,5167
-15751,-343,4743
-16614,-1114,3871
-15551,-659,5188
-15711,-321,4823
-16628,-1131,3837
-15572,-784,5185
-15673,-321,4883
-16672,-1041,3869
-15638,-776,5135
-15659,-330,4931
-16625,-1008,3827
-15659,-888,5063
-15598,-320,5015
-16634,-949,3884
-15709,-919,5033
-15544,-318,5026
-16673,-990,3869
-15741,-1078,4965
-15525,-365,5062
-16641,-1028,3847
-15738,-1156,4899
-15505,-346,5171
-16550,-958,3938
-15803,-1230,4839
-15475,-432,5168
-16484,-1016,3899
-15830,-1324,4732
-15435,-468,5228
-16425,-1020,3994
-15904,-1346,4713
-15481,-472,5256
-16358,-1001,4047
-15985,-1496,4616
-15324,-566,5226
-16235,-1077,4051
-16044,-1518,4525
-15356,-528,5265
-16256,-961,4153
-16162,-1571,4465
-15345,-627,5298
-16160,-969,4135
-16201,-1613,4353
-15259,-602,5327
-16107,-828,4233
-16278,-1607,4347
-15356,-639,5346
-16130,-820,4298
-16307,-1661,4230
-15310,-697,5290
-16033,-764,4352
-16362,-1590,4164
-15341,-605,5336
-16004,-610,4402
-16424,-1566,4105
-15396,-635,5331
-15883,-613,4496
-16453,-1480,4028
-15438,-590,5316
-15890,-476,4587
-16517,-1387,3930
-15473,-610,5312
-15877,-413,4665
-16546,-1329,3886
-15487,-592,5287
-15809,-346,4707
-16597,-1203,3879
-15532,-608,5250
-15742,-340,4789
-16627,-1179,3874
-15580,-713,5211
-15719,-299,4855
-16645,-1061,3830
-15564,-740,5175
-15621,-279,4955
-16658,-1057,3848
-15640,-857,5062
-15568,-306,4949
-16654,-1021,3818
-15689,-997,4995
-15531,-318,5073
-16661,-1023,3846
-15756,-1083,4934
-15503,-348,5161
-16587,-1038,3905
-15827,-1228,4841
-15471,-404,5169
-16508,-1045,3909
-15849,-1324,4705
-15450,-468,5232
-16345,-1058,4065
-15958,-1457,4681
-15402,-504,5254
-16285,-1046,4054
-16142,-1554,4531
-15343,-596,5266
-16229,-975,4063
-16130,-1539,4433
-15328,-573,5344
-16116,-889,4183
-16196,-1611,4390
-15291,-631,5349
-16163,-839,4266
-16266,-1639,4272
-15304,-691,5344
-16072,-725,4351
-16349,-1620,4185
-15335,-623,5346
-16003,-640,4439
-16387,-1556,4094
-15393,-611,5369
-15904,-556,4529
-16470,-1466,3998
-15448,-584,5301
-15926,-428,4571
-16532,-1331,3897
-15464,-624,5316
-15833,-376,4713
-16600,-1236,3873
-15491,-622,5259
-15780,-351,4778
-16606,-1160,3878
-15536,-662,5224
-15696,-305,4907
-16648,-1099,3816
-15600,-767,5134
-15646,-325,4966
-16676,-1036,3836
-15679,-845,5087
-15586,-255,5019
-16661,-1012,3800
-15682,-1055,4982
-15530,-352,5111
-16632,-1007,3871
-15767,-1167,4930
-15471,-355,5203
-16525,-998,3928
-15920,-1317,4837
-15441,-496,5242
-16392,-1038,3930
-15962,-1438,4682
-15396,-519,5204
-16301,-1022,4048
-16049,-1499,4558
-15337,-519,5341
-16241,-979,4148
-16160,-1630,4444
-15301,-616,5317
-16173,-916,4153
-16273,-1610,4358
-15281,-607,5374
-16126,-782,4286
-16253,-1579,4271
-15324,-651,5430
-16024,-681,4376
-16380,-1641,4175
-15352,-623,5351
-15951,-605,4424
-16426,-1530,4024
-15367,-632,5370
-15837,-491,4603
-16495,-1402,3958
-15435,-566,5370
-15834,-422,4705
-16641,-1344,3890
-15545,-615,5259
-15751,-356,4732
-16688,-1189,3834
-15550,-643,5252
-15674,-298,4897
-16670,-1061,3870
-15610,-708,5250
-15664,-264,4972
-16692,-1060,3782
-15649,-885,5040
-15577,-302,5011
-16645,-995,3840
-15692,-982,5040
-15556,-323,5168
-16660,-1013,3874
-15809,-1159,4910
-15522,-410,5162
-16561,-1034,3847
-15822,-1268,4763
-15448,-405,5209
-16450,-1018,4010
-15916,-1405,4739
-15402,-531,5273
-16271,-1048,4019
-16025,-1524,4583
-15374,-597,5275
-16304,-1006,4037
-16140,-1559,4461
-15298,-579,5343
-16170,-918,4186
-16217,-1618,4416
-15262,-618,5402
-16146,-860,4250
-16285,-1646,4242
-15312,-646,5325
-16028,-727,4317
-16364,-1582,4141
-15318,-635,5363
-15944,-613,4529
-16387,-1496,4091
-15343,-635,5346
-15893,-556,4542
-16570,-1479,3897
-15529,-667,5294
-15936,-509,4626
-16576,-1354,3860
-15432,-639,5339
-15724,-317,4822
-16550,-1159,3907
-15446,-535,5284
-15684,-260,4857
-16684,-1146,3822
-15641,-754,5196
-15696,-340,4886
